,game_id,attendance,venue_id,venue_time_zone,home_time_zone,away_time_zone,home_points,away_points,home_rank,away_rank,home_field_goal_att,away_field_goal_att,home_field_goal_made,away_field_goal_made,home_field_goal_pct,away_field_goal_pct,home_3pt_att,away_3pt_att,home_3pt_made,away_3pt_made,home_3pt_pct,away_3pt_pct,home_free_throw_att,away_free_throw_att,home_free_throw_made,away_free_throw_made,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_turnovers,away_turnovers,home_fouls,away_fouls
320,a20b323e-0d83-4d3e-b61b-410f75dbfa77,9072.0,2a1b8d6e-c275-4f77-a5dd-5d0154667a5d,US/Eastern,US/Eastern,US/Eastern,88,78,0.0,0.0,55.0,70.0,30.0,30.0,54.5,42.9,11.0,17.0,4.0,6.0,36.4,35.3,33.0,18.0,24.0,12.0,72.7,66.7,37.0,35.0,13.0,11.0,4.0,8.0,10.0,2.0,11.0,7.0,17.0,20.0
321,baa60128-acf8-4bb2-8827-67dd5c04268a,10827.0,0acc6624-ac19-4bd8-a789-3b89aa91d1f7,US/Eastern,US/Eastern,US/Eastern,56,81,0.0,0.0,45.0,57.0,19.0,30.0,42.2,52.6,23.0,21.0,5.0,8.0,21.7,38.1,18.0,19.0,13.0,13.0,72.2,68.4,27.0,30.0,7.0,14.0,4.0,6.0,3.0,1.0,19.0,11.0,21.0,19.0
322,aa1be81e-9694-4590-b4a7-1ff5e410544a,8232.0,f72da915-1ddd-41a0-9e19-0b0c7f6f30c5,US/Central,US/Central,US/Eastern,72,54,0.0,0.0,49.0,57.0,27.0,23.0,55.1,40.4,15.0,20.0,5.0,5.0,33.3,25.0,19.0,7.0,13.0,3.0,68.4,42.9,36.0,26.0,15.0,11.0,2.0,6.0,1.0,4.0,12.0,11.0,12.0,16.0
323,b5a7b6bf-d3e4-40b1-bc2e-4cb00697c1fc,13407.0,e43e6693-1879-433e-8287-0929d4b9b375,US/Eastern,US/Eastern,US/Central,74,62,24.0,0.0,56.0,65.0,23.0,22.0,41.1,33.8,26.0,23.0,8.0,6.0,30.8,26.1,27.0,14.0,20.0,12.0,74.1,85.7,44.0,36.0,13.0,8.0,3.0,4.0,6.0,1.0,12.0,9.0,11.0,22.0
324,9cddb397-771e-402c-a46c-571291cf4692,3707.0,0d149b57-2a9a-41a6-a334-a44b32f3e94b,US/Eastern,US/Eastern,US/Eastern,83,78,0.0,0.0,55.0,67.0,27.0,32.0,49.1,47.8,29.0,17.0,14.0,6.0,48.3,35.3,19.0,11.0,15.0,8.0,78.9,72.7,28.0,39.0,19.0,17.0,3.0,4.0,3.0,7.0,9.0,8.0,10.0,18.0
325,bd3a11cb-7041-4982-84cb-3cea1aa5fd9a,4831.0,ef4e49fe-ad34-43d7-afd4-a004466bf044,US/Eastern,US/Eastern,US/Eastern,79,65,0.0,0.0,58.0,58.0,31.0,24.0,53.4,41.4,27.0,24.0,13.0,8.0,48.1,33.3,4.0,13.0,4.0,9.0,100.0,69.2,33.0,27.0,19.0,18.0,3.0,6.0,3.0,0.0,15.0,11.0,17.0,13.0
326,d200e80b-f55d-4bab-ac8b-6e7d46c97e78,12977.0,5f1a51e1-bdd9-43a2-8743-c37f20265346,US/Eastern,US/Eastern,US/Eastern,73,67,0.0,0.0,49.0,53.0,24.0,25.0,49.0,47.2,17.0,19.0,4.0,10.0,23.5,52.6,32.0,18.0,21.0,7.0,65.6,38.9,34.0,31.0,14.0,16.0,12.0,8.0,5.0,1.0,14.0,16.0,19.0,22.0
327,e8101994-c5ca-457f-b0a7-32e319f7a311,8646.0,c1d792b1-beb9-492a-a6af-a458c6de58e3,US/Eastern,US/Eastern,US/Eastern,68,64,0.0,16.0,60.0,50.0,23.0,24.0,38.3,48.0,23.0,7.0,5.0,2.0,21.7,28.6,21.0,16.0,17.0,14.0,81.0,87.5,32.0,33.0,7.0,8.0,8.0,2.0,6.0,0.0,7.0,13.0,16.0,21.0
328,ef5ee9e1-b241-4701-9e61-754bd81c12c4,6485.0,c76914a3-7d54-4d6e-be85-cd6ccc69da47,US/Eastern,US/Eastern,US/Eastern,68,54,0.0,0.0,63.0,56.0,25.0,22.0,39.7,39.3,15.0,19.0,7.0,6.0,46.7,31.6,16.0,7.0,11.0,4.0,68.8,57.1,52.0,22.0,11.0,12.0,4.0,10.0,2.0,3.0,20.0,13.0,15.0,19.0
329,f0f30ba4-d059-42dc-a7d2-519a59c69c4b,612.0,ef2ed392-fb1b-42b7-9895-0a12f908e63e,US/Eastern,US/Eastern,US/Eastern,83,78,0.0,0.0,61.0,72.0,31.0,29.0,50.8,40.3,18.0,28.0,8.0,8.0,44.4,28.6,21.0,19.0,13.0,12.0,61.9,63.2,37.0,45.0,14.0,16.0,10.0,5.0,5.0,5.0,16.0,18.0,18.0,17.0
