,game_id,date,home_team,away_team,capacity,venue_id,home_id,away_id,home_rank,away_rank
35,a9aa0d4c-85b6-465d-bd4c-f630e780ca71,2023-11-21,Wright State Raiders,Hofstra Pride,7186.0,04c5def5-5401-4984-b0ab-1e7f061d2411,9c396fa7-c165-4599-8542-158bd0d9a199,36ca2008-cd2e-4549-8b3b-c745167e07f3,,
36,4ea45104-efc8-465c-8a46-b42fab529371,2023-11-21,Middle Tennessee Blue Raiders,UAB Blazers,11520.0,12d526ed-1fbf-4caf-bdf4-f4fceeb95d31,3d2f0819-8f3b-4ff3-afd6-6227c469a751,63a8fdcf-b51b-4de3-8a57-2a6e41d362ce,,
37,c3a2e3b5-bd60-4533-9725-1a54e125f53e,2023-11-21,Stephen F. Austin Lumberjacks,Utah State Aggies,2500.0,9dafedba-2a67-4d35-9e66-20676c2d81d6,5ef64f01-86ae-4553-9834-c79cc0859eaf,7672ff16-8436-47e6-8546-0fb5494ec7ee,0.0,0.0
38,d229ca5b-bebf-4207-ad85-188bd035e3fa,2023-11-21,Nicholls State Colonels,Blue Mountain Toppers,3800.0,2575a06f-aca7-42b7-8c57-f6b9290f2506,c0d19efd-d40c-4e32-8e90-dbcb28178b5d,c9e06762-c40b-4b2e-90fb-8fff260f9383,,
39,9d2192bf-420b-4894-bdbb-8982d9a15a5c,2023-11-21,Oral Roberts Golden Eagles,Texas Southern Tigers,11300.0,505ec6d0-d2ec-4e8b-bbc1-fc0eec75117e,095417ae-62b0-4109-afc4-d92918599dd4,eb157f98-0697-459c-9293-ddb162ceb28b,,
40,91414033-4260-4bf5-ada9-ab88a2516fb3,2023-11-21,Valparaiso Beacons,Western Illinois Leathernecks,5000.0,295e1a3c-40a5-40d6-a95a-888e896598f5,df3da9d7-2d2b-44e2-99e2-08c4945a203b,cc9e5424-ab3b-41ec-b2aa-7e8a73d759c6,,
41,ee8640f6-debd-412e-a80f-e7a221657089,2023-11-21,Auburn Tigers,Alabama A&M Bulldogs,9121.0,0b181487-42ee-4324-9785-bf798c2b4c10,0c0608b3-f349-4f5e-9a10-7e6a744dd0d2,949c3398-85e4-4c63-ba71-9a82e06ddea4,,
42,16af1490-0d64-432f-a706-9bb47e57dad4,2023-11-21,Tennessee Volunteers,Purdue Boilermakers,10300.0,2e713b00-8015-42c7-813b-643f41b0d384,b827dbdf-230f-4916-9703-3bb9004e26eb,12d7f888-675b-459f-9099-a38f771d8a95,7.0,2.0
43,cd93e30b-88d8-4d85-8855-264cf0e50f5d,2023-11-21,South Alabama Jaguars,Lynn Fighting Knights,10041.0,d6e5d172-c88f-411d-b421-4b59b9507e44,10c614fa-9646-46cf-a1fb-5af96772bbb8,9931c307-713c-4669-81f8-e9c285fd67f9,,
44,22108d6d-a117-4709-87ac-1d4181d9709e,2023-11-21,TCU Horned Frogs,Alcorn State Braves,6800.0,1819e403-3649-4114-af21-f21d70cceb61,f7fcbb6e-4a55-41ea-ba21-f763ed914467,1bddc811-44cf-4e53-b4ab-11c8dc82c9de,0.0,0.0
45,a5831996-4481-4fe6-9b8c-bd91f619853a,2023-11-21,New Mexico State Aggies,Fresno State Bulldogs,,189ba801-068e-41f7-a5f5-572308a915b6,5016fe1a-9571-4d10-bf5b-b9c1b496bd57,dd8db4d8-d984-4cab-b7f6-22c6b8c2c45f,0.0,0.0
46,b3bf9d36-383c-4da9-b8fd-429cfa312347,2023-11-21,Milwaukee Panthers,Siena Saints,9312.0,06ca93a2-f8d1-4e4a-a32a-43bd764c4e57,5d77800f-1ae6-4b66-8e97-b0dbb8bbc717,aba39ad0-6d9f-4946-bf7e-5c63bf966ce6,,
47,3bae75a3-98a3-4e11-a70a-32397ff8eceb,2023-11-21,UC Irvine Anteaters,Pepperdine Waves,6000.0,47eb3957-b994-44d0-838a-86182e057399,39d00ef7-320d-47cf-a2fa-859bc24d16b4,17479d6f-c8f1-458b-9412-8c76279a2bb4,0.0,0.0
48,01b756a3-c1d7-4ba8-9509-0a91aa5dbad3,2023-11-21,Minnesota Golden Gophers,Arkansas-Pine Bluff Golden Lions,14625.0,f72da915-1ddd-41a0-9e19-0b0c7f6f30c5,fa416692-7e09-4f0a-9bcf-0cf7d5149a14,1394dd8a-040e-4509-9ee3-761d60eaf6c9,,
49,9c7e457a-396e-47dc-b190-9f03dcfa165c,2023-11-21,Green Bay Phoenix,UC Riverside Highlanders,8455.0,3213f809-1a69-4d2e-8a39-66a5b4782c0d,61a3e5ab-1be3-4694-b83f-edae0953f409,6b170a32-8445-4cb1-8638-724996c3094b,,
50,7b010b47-62e6-4f4e-8d27-0c567564157a,2023-11-21,Cal State Northridge Matadors,Le Moyne Dolphins,2400.0,71d77907-2374-4969-9d8c-fc7100d47c28,cb732075-23a5-4e71-9037-50a7a002bdb2,a7086972-971c-4333-9944-5120c6ed6c42,,
51,1a4c1865-b4dd-4396-a32f-6019a8f6636b,2023-11-21,Kansas Jayhawks,Marquette Golden Eagles,10300.0,2e713b00-8015-42c7-813b-643f41b0d384,fae4855b-1b64-4b40-a632-9ed345e1e952,06f7c904-0ac7-4125-b0f4-f4871bb69057,,
52,501f0808-8220-4da5-9941-66d0bafe0ac5,2023-11-21,New Mexico Lobos,Toledo Rockets,6000.0,47eb3957-b994-44d0-838a-86182e057399,1b1977ec-b32f-4ce3-95a4-d07bab4816cd,34dd83ac-64f2-4b73-8577-899b2a46f5cc,,
